,"('<s>', 'get') ",6,0.00139958
0,"('get', 'threaded') ",1,0.004065041
1,"('threaded', 'scared') ",1,1
2,"('scared', '</s>') ",2,0.222222222
3,"('<s>', 'awaisnaseer') ",1,0.000233263
4,"('awaisnaseer', 'like') ",1,1
5,"('like', 'shezan') ",1,0.005208333
6,"('shezan', 'mangooo') ",1,1
7,"('mangooo', 'one') ",1,1
8,"('one', 'yesterday') ",1,0.008264463
9,"('yesterday', '</s>') ",8,0.380952381
10,"('<s>', 'worked') ",1,0.000233263
11,"('worked', 'car') ",1,0.166666667
12,"('car', 'work') ",1,0.058823529
13,"('work', 'showering') ",1,0.005714286
14,"('showering', 'going') ",1,1
15,"('going', 'bed') ",13,0.072625698
16,"('bed', 'sooooooooooo') ",1,0.016666667
17,"('sooooooooooo', 'tired') ",1,1
18,"('tired', 'sparrow') ",1,0.023255814
19,"('sparrow', 'signing') ",1,1
20,"('signing', 'cowboy') ",1,0.5
21,"('cowboy', '</s>') ",2,1
22,"('<s>', 'marama') ",1,0.000233263
23,"('marama', 'actually') ",1,1
24,"('actually', 'start') ",1,0.035714286
25,"('start', 'afternoon') ",1,0.038461538
26,"('afternoon', 'try') ",1,0.058823529
27,"('try', 'something') ",1,0.033333333
28,"('something', 'wed') ",1,0.020408163
29,"('wed', 'slow') ",1,0.2
30,"('slow', 'process') ",1,0.142857143
31,"('process', 'collecting') ",1,0.5
32,"('collecting', 'many') ",1,1
33,"('many', 'vac') ",1,0.066666667
34,"('vac', '</s>') ",1,1
35,"('<s>', 'gfalcone') ",1,0.000233263
36,"('gfalcone', 'aww') ",1,0.5
37,"('aww', 'worry') ",2,0.071428571
38,"('worry', 'vote') ",1,0.166666667
39,"('vote', 'non') ",1,0.142857143
40,"('non', 'stop') ",1,1
41,"('stop', 'coz') ",1,0.0625
42,"('coz', 'love') ",1,1
43,"('love', 'much') ",3,0.015151515
44,"('much', '</s>') ",22,0.222222222
45,"('<s>', 'mrstessyman') ",1,0.000233263
46,"('mrstessyman', 'ever') ",1,1
47,"('ever', 'good') ",1,0.03030303
48,"('good', 'day') ",11,0.041825095
49,"('day', 'love') ",3,0.012552301
50,"('love', 'knitpicks') ",1,0.005050505
51,"('knitpicks', '</s>') ",1,1
52,"('<s>', 'getmevideo') ",1,0.000233263
53,"('getmevideo', 'sorry') ",1,1
54,"('sorry', 'forte') ",1,0.015151515
55,"('forte', 'ask') ",1,1
56,"('ask', 'trading') ",1,0.166666667
57,"('trading', 'scalping') ",1,1
58,"('scalping', 'dax') ",1,1
59,"('dax', 'answer') ",1,1
60,"('answer', '</s>') ",3,0.214285714
61,"('<s>', 'getting') ",18,0.00419874
62,"('getting', 'ready') ",14,0.184210526
63,"('ready', 'church') ",2,0.054054054
64,"('church', 'bummed') ",1,0.0625
65,"('bummed', 'cannot') ",1,0.333333333
66,"('cannot', 'watch') ",1,0.090909091
67,"('watch', 'rafa') ",1,0.022727273
68,"('rafa', 'whoop') ",1,0.333333333
69,"('whoop', 'djokovic') ",1,0.333333333
70,"('djokovic', 'live') ",1,1
71,"('live', 'settle') ",1,0.028571429
72,"('settle', 'dvr') ",1,0.333333333
73,"('dvr', 'suppose') ",1,1
74,"('suppose', '</s>') ",1,0.25
75,"('<s>', 'early') ",4,0.000933053
76,"('early', 'tomorrow') ",3,0.088235294
77,"('tomorrow', 'last') ",1,0.00952381
78,"('last', 'open') ",1,0.01
79,"('open', 'home') ",1,0.066666667
80,"('home', 'goodnight') ",1,0.009174312
81,"('goodnight', '</s>') ",7,0.538461538
82,"('<s>', 'needs') ",3,0.00069979
83,"('needs', 'shake') ",1,0.055555556
84,"('shake', 'gloomy') ",1,0.5
85,"('gloomy', 'feeling') ",1,0.25
86,"('feeling', 'maybe') ",1,0.027027027
87,"('maybe', 'rain') ",1,0.04
88,"('rain', '</s>') ",4,0.166666667
89,"('<s>', 'minecart') ",1,0.000233263
90,"('minecart', 'ride') ",1,1
91,"('ride', 'sarah') ",1,0.058823529
92,"('sarah', 'still') ",1,0.2
93,"('still', 'afraid') ",1,0.007936508
94,"('afraid', 'ride') ",1,0.166666667
95,"('ride', 'anything') ",1,0.058823529
96,"('anything', 'fun') ",1,0.035714286
97,"('fun', '</s>') ",20,0.338983051
98,"('<s>', 'cheers') ",1,0.000233263
99,"('cheers', 'follow') ",1,0.333333333
100,"('follow', '</s>') ",4,0.166666667
101,"('<s>', 'sokendrakouture') ",1,0.000233263
102,"('sokendrakouture', 'yea') ",1,1
103,"('yea', 'alone') ",1,0.083333333
104,"('alone', '</s>') ",6,0.4
105,"('<s>', 'good') ",34,0.007930954
106,"('good', 'morning') ",39,0.148288973
107,"('morning', 'blessed') ",1,0.009174312
108,"('blessed', 'another') ",1,1
109,"('another', 'day') ",2,0.047619048
