,sentence,LABEL
0,godlessgirl add none want shopping eating toast,0
1,madirigh damn sucks gotta,0
2,idk tell girl shut like thunder woke,1
3,terilynns amazing book school tommorow,1
4,totzhatz sometimes late tired chill,0
5,realdeal,1
6,ozdj must meeegelll pie jazzyyyyyy miss youu,0
7,googlejuice leaky tiki thanks parastoo nice place,1
8,jeffreecuntstar decent picture kid wasnt allowed,1
9,blood saturday lol working heading home miss,1
10,jasontancy thanks went home sad friend chealse,1
11,hahahaha tired hungry greggs takes long day,0
12,isnt masculine balance dont like write song,0
13,madirigh damn take breath,0
14,stonewallers looking smart,1
15,googlejuice leaky tiki thanks taking leave jess,1
16,back lol ahh feeling better job flight,1
17,clairemsp tians alot,1
18,jennieaguirre yeah downloaded wont hehe yer nice,0
19,kimkardashian tell moving north,1
20,aaaand lost talk hes upset day seriously,0
21,stepheezy got retarded grass hopper drink bars,0
22,echa javajazz thanks lol ahh listening mcfly,1
23,needs please tell moving early spent sunday,1
24,keithmelton welcome thanks bring justin richards along,1
25,ooh cool wearing something wrong smile sun,1
26,anansha yeh kind feel rain lol let,1
27,bathroom sparkling btw adorable hehe yer nice,1
28,yourproxycomm thanks making another leaflet came home,1
29,isacullen,1
30,ahmedworld thanks shoutout,1
31,sherinegamal doubt sold slr camera jaffacakes,0
32,confessing girl jenn makes cry wegs,0
33,tgifridays homies,1
34,firmly believe island opener totally ruined fun,1
35,jasminelynn problem like stuff apartment,0
36,nelldamylf aww jealous bay wanted stay night,0
37,kporcalla hey trip omg know ellie hoping,1
38,natmcb lovely summer bottle,1
39,kaaatieexlee know actually gone today aaahhhh fun,1
40,salisburydowns right wpis really cant handle see,1
41,lying,0
42,pdaonline missed dover amp joey amp dog,0
43,hilprado hope hvin great sat late cubbies,1
44,affan freaking hot already hot already redeemed,0
45,mynameisforge crazy night saw quot best heroes,1
46,wonka peed kitchen today plan half,1
47,levigato good puppy hugs hope stay night,1
48,affan freaking,0
49,beverleycuddy weakness chocolate molten cakes rich chocolaty,1
50,feeling like atm bad hitrecord theatre badly,0
51,marley saddest movie vid showing georgia kentucky,0
52,salehh beat points lame,0
53,questlove get early tomorrow due priorities,1
54,doesnt know wearing thin,1
55,dealing fact punked solo tyler learning taxi,1
56,jordandaly big sis,1
57,met elementary school tommorow watching jon kate,1
58,dannymcevoy haha lol abou,1
59,mimi hospital,1
60,beginning suspect phone loudly singing rain awaaayyyyy,0
61,minutes honey,1
62,susieqtpie sweet sorrow,0
63,bigwormy hey monday antidote great body hurts,1
64,robwatts sunshine little things rikkilazao picture kid,1
65,boyfriend life cruel bitch christy trey,0
66,jferman bichon poodle mix personally like cannot,1
67,mobbster good sign twitter cell days til,1
68,anothersaturday pics follow looking frantically cheap amp,0
69,yay survived parking lot,1
70,excited gypsyhippie maybe time till thanks steffenjason,1
71,make lots time done worried,0
72,packing dublin good cant complain least access,1
73,phatfffat got hate getting quot ready weekend,0
74,yvette part,1
75,itsmyeyes get keep missing fun ready gotta,1
76,sarahdessen still entertaining enough guess someone somewhere,1
77,rollerblading paloooos text cuz feel excitement stress,1
78,cornhole tourny beach visit simpletownusa com wanna,1
79,hansonmusic zac brown chocolate delivered like orange,1
80,nuudz whats occuring twitter happy birthday today,1
81,jennieaguirre yeah understand way following respectable tweets,1
82,almost gave however found van mtv cinetrip,1
83,bigbadbob good write twitter sometime still amazing,1
84,kirankhanzada hate many thanks alot,0
85,lancesmithshow poor akila,0
86,babeeshark would wide sacked developers conference kick,1
87,officialas fair enough nitin,1
88,danni getting everything character part waking,1
89,marty get eat late say thai beef,1
90,troymcdonald newsletter yet stuff mechanics want cake,1
91,landed hahaha dirty,1
92,alarm rings,0
93,able church hanging naptown sarah still duff,1
94,indrairwan birthday fellow gemini,1
95,probably pretty darn work room yoohooo,1
96,wonder crazy ass late fix air,0
97,wooh got swine flu something see men,0
98,chapter convention,1
99,predschickidee current govt,1
100,peace knocked door see cali could ask,1
101,wussup new person addicted twitter fast psp,1
102,danyelldamaged ahhh lovin life honor meeting sweet,1
103,thirsty lazy get politicool iran,0
104,intro soompi com quantum mechanics want come,1
105,countdown weekend talked funny hahaha dirty,1
106,nick kidnap,1
107,sleeps phone wit,1
108,shot butt,1
109,sally girl say,1
110,wants coming saturday worst start planning phase,0
111,nooneai yourmamaknows nbc com got soaked earlier,1
112,imoose read blog says update,1
113,thesourceress yep agree work used conventions year,1
114,peterfacinelli haning friends told didnt time max,1
115,melamachinko yes sure mind lol xoxo,1
116,almcheese thx alma alyshachandra way fast food,1
117,smoshian meh think keep updated lol need,1
118,waves good cannot compare real davidcook absolutely,1
119,heywidya nope didnt waterproof coat make trip,1
120,perhaps comptine midi file see schools love,1
121,mommasalty fucking awesome totally love money gutted,1
122,whats tmrw time site,1
123,daily show happened equality country nice brooklynblack,1
124,babygirlparis love working well cant stop listening,1
125,aprealbrooke jealous awe super jealous sushi menu,0
126,find song stage song always really missing,0
127,theroose good old men wit break ending,1
128,mobidextrous going battle amp groove starting scare,0
129,cupcakes anyone suggestions runs hides,0
130,untamed heart excited gypsyhippie maybe cause suffer,0
131,mah gosh exciting thanks follow work room,1
132,lemonpi dark hear laughing never eat something,1
133,probably winter start anew,1
134,bigbearrg ahh listening mcfly wishing maryyyyyy,1
135,ddlovato btw fun really see,1
136,jenifel aww thank lord raining taking time,1
137,feels good home shooting jennhoffman stopped raining,1
