,sentence,LABEL
2,idk tell girl shut like thunder woke,1
3,terilynns amazing book school tommorow,1
5,realdeal,1
7,googlejuice leaky tiki thanks parastoo nice place,1
8,jeffreecuntstar decent picture kid wasnt allowed,1
9,blood saturday lol working heading home miss,1
10,jasontancy thanks went home sad friend chealse,1
14,stonewallers looking smart,1
15,googlejuice leaky tiki thanks taking leave jess,1
16,back lol ahh feeling better job flight,1
17,clairemsp tians alot,1
19,kimkardashian tell moving north,1
22,echa javajazz thanks lol ahh listening mcfly,1
23,needs please tell moving early spent sunday,1
24,keithmelton welcome thanks bring justin richards along,1
25,ooh cool wearing something wrong smile sun,1
26,anansha yeh kind feel rain lol let,1
27,bathroom sparkling btw adorable hehe yer nice,1
28,yourproxycomm thanks making another leaflet came home,1
29,isacullen,1
30,ahmedworld thanks shoutout,1
33,tgifridays homies,1
34,firmly believe island opener totally ruined fun,1
37,kporcalla hey trip omg know ellie hoping,1
38,natmcb lovely summer bottle,1
39,kaaatieexlee know actually gone today aaahhhh fun,1
40,salisburydowns right wpis really cant handle see,1
43,hilprado hope hvin great sat late cubbies,1
45,mynameisforge crazy night saw quot best heroes,1
46,wonka peed kitchen today plan half,1
47,levigato good puppy hugs hope stay night,1
49,beverleycuddy weakness chocolate molten cakes rich chocolaty,1
53,questlove get early tomorrow due priorities,1
54,doesnt know wearing thin,1
55,dealing fact punked solo tyler learning taxi,1
56,jordandaly big sis,1
57,met elementary school tommorow watching jon kate,1
58,dannymcevoy haha lol abou,1
59,mimi hospital,1
61,minutes honey,1
63,bigwormy hey monday antidote great body hurts,1
64,robwatts sunshine little things rikkilazao picture kid,1
66,jferman bichon poodle mix personally like cannot,1
67,mobbster good sign twitter cell days til,1
69,yay survived parking lot,1
70,excited gypsyhippie maybe time till thanks steffenjason,1
72,packing dublin good cant complain least access,1
74,yvette part,1
75,itsmyeyes get keep missing fun ready gotta,1
76,sarahdessen still entertaining enough guess someone somewhere,1
77,rollerblading paloooos text cuz feel excitement stress,1
78,cornhole tourny beach visit simpletownusa com wanna,1
79,hansonmusic zac brown chocolate delivered like orange,1
80,nuudz whats occuring twitter happy birthday today,1
81,jennieaguirre yeah understand way following respectable tweets,1
82,almost gave however found van mtv cinetrip,1
83,bigbadbob good write twitter sometime still amazing,1
86,babeeshark would wide sacked developers conference kick,1
87,officialas fair enough nitin,1
88,danni getting everything character part waking,1
89,marty get eat late say thai beef,1
90,troymcdonald newsletter yet stuff mechanics want cake,1
91,landed hahaha dirty,1
93,able church hanging naptown sarah still duff,1
94,indrairwan birthday fellow gemini,1
95,probably pretty darn work room yoohooo,1
98,chapter convention,1
99,predschickidee current govt,1
100,peace knocked door see cali could ask,1
101,wussup new person addicted twitter fast psp,1
102,danyelldamaged ahhh lovin life honor meeting sweet,1
104,intro soompi com quantum mechanics want come,1
105,countdown weekend talked funny hahaha dirty,1
106,nick kidnap,1
107,sleeps phone wit,1
108,shot butt,1
109,sally girl say,1
111,nooneai yourmamaknows nbc com got soaked earlier,1
112,imoose read blog says update,1
113,thesourceress yep agree work used conventions year,1
114,peterfacinelli haning friends told didnt time max,1
115,melamachinko yes sure mind lol xoxo,1
116,almcheese thx alma alyshachandra way fast food,1
117,smoshian meh think keep updated lol need,1
118,waves good cannot compare real davidcook absolutely,1
119,heywidya nope didnt waterproof coat make trip,1
120,perhaps comptine midi file see schools love,1
121,mommasalty fucking awesome totally love money gutted,1
122,whats tmrw time site,1
123,daily show happened equality country nice brooklynblack,1
124,babygirlparis love working well cant stop listening,1
127,theroose good old men wit break ending,1
131,mah gosh exciting thanks follow work room,1
132,lemonpi dark hear laughing never eat something,1
133,probably winter start anew,1
134,bigbearrg ahh listening mcfly wishing maryyyyyy,1
