,Word Unit,Count,Probability
1558,"('love', '</s>') ",36,0.002126009
3789,"('<s>', 'new') ",17,0.001551412
559,"('<s>', 'back') ",19,0.001149194
1063,"('<s>', 'finished') ",19,0.001149194
1788,"('good', '</s>') ",35,0.001034275
106,"('<s>', 'good') ",34,0.001005545
2464,"('last', 'night') ",31,0.000919355
146,"('time', '</s>') ",26,0.000775706
2643,"('haha', '</s>') ",26,0.000775706
334,"('bed', '</s>') ",15,0.000766129
2263,"('good', 'luck') ",15,0.000766129
2811,"('thanks', '</s>') ",15,0.000766129
98,"('fun', '</s>') ",20,0.000754159
283,"('<s>', 'work') ",20,0.000754159
1384,"('<s>', 'happy') ",20,0.000754159
3118,"('morning', '</s>') ",20,0.000754159
2226,"('tonight', '</s>') ",23,0.000689516
49,"('good', 'day') ",11,0.000503877
123,"('want', '</s>') ",11,0.000503877
210,"('please', '</s>') ",11,0.000503877
282,"('cool', '</s>') ",11,0.000503877
540,"('mothers', 'day') ",11,0.000503877
629,"('know', '</s>') ",11,0.000503877
1423,"('sick', '</s>') ",11,0.000503877
2128,"('hope', 'get') ",11,0.000503877
2714,"('last', 'day') ",11,0.000503877
2819,"('<s>', 'yay') ",11,0.000503877
2913,"('great', '</s>') ",11,0.000503877
4309,"('ago', '</s>') ",11,0.000503877
7577,"('<s>', 'wish') ",11,0.000503877
954,"('cute', '</s>') ",9,0.000410426
1100,"('hehe', '</s>') ",9,0.000410426
1247,"('sucks', '</s>') ",9,0.000410426
1503,"('<s>', 'tommcfly') ",9,0.000410426
1635,"('<s>', 'wow') ",9,0.000410426
2170,"('sorry', 'hear') ",9,0.000410426
2906,"('really', 'want') ",9,0.000410426
4391,"('got', 'back') ",9,0.000410426
4786,"('<s>', 'working') ",9,0.000410426
5484,"('<s>', 'one') ",9,0.000410426
5906,"('<s>', 'last') ",9,0.000410426
8572,"('later', '</s>') ",9,0.000410426
9041,"('look', 'like') ",9,0.000410426
9835,"('thank', 'much') ",9,0.000410426
993,"('<s>', 'love') ",27,0.000402218
4142,"('sad', '</s>') ",27,0.000402218
2443,"('twitter', '</s>') ",21,0.000379234
2773,"('sleep', '</s>') ",21,0.000379234
3494,"('right', '</s>') ",21,0.000379234
4345,"('<s>', 'morning') ",21,0.000379234
4785,"('one', '</s>') ",21,0.000379234
62,"('<s>', 'getting') ",18,0.000363911
1278,"('<s>', 'miss') ",18,0.000363911
1546,"('see', '</s>') ",18,0.000363911
16,"('going', 'bed') ",13,0.000329087
254,"('like', '</s>') ",13,0.000329087
460,"('feel', 'like') ",13,0.000329087
678,"('<s>', 'hey') ",13,0.000329087
932,"('good', 'night') ",13,0.000329087
1492,"('<s>', 'way') ",13,0.000329087
1826,"('sorry', '</s>') ",13,0.000329087
2361,"('<s>', 'woke') ",13,0.000329087
5126,"('<s>', 'well') ",13,0.000329087
5810,"('next', 'week') ",13,0.000329087
30002,"('day', 'seb') ",13,0.000329087
933,"('night', '</s>') ",30,0.000296875
1012,"('<s>', 'watching') ",30,0.000296875
1361,"('though', '</s>') ",30,0.000296875
82,"('goodnight', '</s>') ",7,0.000275807
137,"('ice', 'cream') ",7,0.000275807
308,"('xxx', '</s>') ",7,0.000275807
611,"('yay', '</s>') ",7,0.000275807
743,"('<s>', 'went') ",7,0.000275807
858,"('man', '</s>') ",7,0.000275807
1402,"('going', '</s>') ",7,0.000275807
1457,"('work', 'tomorrow') ",7,0.000275807
1787,"('really', 'good') ",7,0.000275807
1913,"('ugh', '</s>') ",7,0.000275807
1987,"('<s>', 'thanks') ",7,0.000275807
1998,"('<s>', 'listening') ",7,0.000275807
2221,"('still', '</s>') ",7,0.000275807
2278,"('much', 'better') ",7,0.000275807
2353,"('boo', '</s>') ",7,0.000275807
2393,"('times', '</s>') ",7,0.000275807
2817,"('back', 'sleep') ",7,0.000275807
4499,"('let', 'know') ",7,0.000275807
5063,"('boring', '</s>') ",7,0.000275807
7292,"('friday', '</s>') ",7,0.000275807
7652,"('sun', 'shining') ",7,0.000275807
7903,"('movie', 'awards') ",7,0.000275807
9445,"('<s>', 'says') ",7,0.000275807
10137,"('got', 'home') ",7,0.000275807
12995,"('something', '</s>') ",7,0.000275807
45,"('much', '</s>') ",22,0.000220262
434,"('weekend', '</s>') ",22,0.000220262
2279,"('better', '</s>') ",22,0.000220262
124,"('<s>', 'mileycyrus') ",12,0.00021623
157,"('<s>', 'hate') ",12,0.00021623
161,"('away', '</s>') ",12,0.00021623
384,"('<s>', 'quot') ",12,0.00021623
459,"('<s>', 'feel') ",12,0.00021623
556,"('back', '</s>') ",12,0.00021623
643,"('<s>', 'trying') ",12,0.00021623
1758,"('cant', 'wait') ",12,0.00021623
1764,"('<s>', 'think') ",12,0.00021623
1893,"('<s>', 'feeling') ",12,0.00021623
1900,"('feel', 'better') ",12,0.00021623
2223,"('looking', 'forward') ",12,0.00021623
